"Run.ID","P0.Regret.GN","P1.Regret.GN","P2.Regret.GN","P3.Regret.GN"
451,0.00792089553776499,0.00909750523054112,0.00238255456190536,0
452,0,0.000718613226821119,0.00374258988748806,0.00503198473955425
453,0,0.00155903926279835,0.0146247301472264,0.0126712554211108
454,0,0.00212946962592148,0.0152445125904746,0.0142517871828552
455,0.00521353630982962,0.00680841358988409,0.00206913726131501,0
456,0,0.00146954494972514,0.00790444033628394,0.00615255708332403
457,0.00240643500680091,0.00447195362423029,0.00183835591879325,0
458,0.0069915868007087,0.00763033003033515,0.000751578980203237,0
459,0.00216907430665652,0.00247923915542642,0.00136447610968839,0
460,0.00584456723799727,0.00622529822856068,0.00186214856887391,0
461,0.0102244318971448,0.0120381810360669,0.00131586235753007,0
462,0,0.00173106792175835,0.00669967508688267,0.00536374533952851
463,0.0121651449023483,0.0137266742566281,0.00145683396297158,0
464,0,0.0016654417755968,0.00665545915051618,0.00455737627528221
465,0,0.000949308812536104,0.00450324723916676,0.00471949922286613
466,0.0177663073818486,0.00918226369504522,0.00074672398155258,0
467,0.0114555065530736,0.00599810370145794,0.000656111139838003,0
468,0.00402571815926955,0.00532779242041553,0.0022484006378381,0
469,0,0.000660695139119477,0.00380371225352499,0.00575934406977537
470,0.0137542173702854,0.00630749045865548,0.000758908404473544,0
471,0.00232415706516543,0.00434369175559527,0.0014723293342448,0
472,0.0149052502815249,0.00792536400995557,0.000733033862904377,0
473,0,0.00109873408723008,0.00366534539151166,0.00261910611062797
474,0,0.000909388181008632,0.00679915970914777,0.0104257346837614
475,0,0.0014413922768437,0.00470982478558154,0.00265530166713545
476,0,0.000835855752875123,0.00501152252231252,0.0085185725667606
477,0,0.00219437643711339,0.00149345597567145,0.000278845338880984
478,0.00259582718096359,0.00485937619578237,0.00149209369260384,0
479,0.00103584528060564,0.00251852226199475,0.00294662551325926,0
480,0.00153922375364651,0.00468528197525158,0.000781465665009425,0
481,0.00561621493810439,0.00579086616334657,0.00219436065147034,0
482,0,0.00179204786319663,0.00271008741250562,0.000854982094864721
483,0,0.00106228905410281,0.00895439777877088,0.0168973131366008
484,0,0.00135562896767713,0.0048535552512456,0.00368228598850433
485,0,0.00125766346317379,0.00829873633429412,0.00516155453617922
486,0,0.000849255942959849,0.00571332052832021,0.0103306096843022
487,0,0.000841779880440902,0.00349234162375662,0.00238497772182044
488,0.00587007663876772,0.0087266529470451,0.00079220036384197,0
489,0,0.000993779302612092,0.00588648035506855,0.00869773568395053
