"Run.ID","P0.Regret.DT","P1.Regret.DT","P2.Regret.DT","P3.Regret.DT"
607,-4.0855720464149,-4.0855720464149,-2.55593676131066,0
608,-3.03134912361351,-3.03134912361351,-1.34632717405615,0
609,-0.95460093548271,-0.95460093548271,-0.95460093548271,0
610,-2.54003731667915,-2.54003731667915,-2.54003731667915,0
611,-6.24614721230579,-6.24614721230579,-0.701047407340925,0
612,-6.18888366603605,-6.18888366603605,-0.732112373845845,0
613,-6.1853623469487,-6.1853623469487,-0.615996750892101,0
614,-5.65508682352518,-5.65508682352518,-0.900515743427006,0
615,-6.09208929492475,-6.09208929492475,-1.23381078049477,0
616,-6.54334800092556,-6.54334800092556,-0.427916362870193,0
617,-5.64719874745931,-5.64719874745931,-2.61162046063334,0
618,-6.04131750563406,-6.04131750563406,-1.05441756199125,0
619,-3.63816126871247,-3.63816126871247,-3.63816126871247,0
620,-6.00489626070437,-6.00489626070437,-0.964200272965052,0
621,0,0,0,0
622,-6.49331335071473,-6.49331335071473,-0.463796820615051,0
623,-1.49770687467599,-1.49770687467599,-1.49770687467599,0
624,0,0,0,0
625,-3.92281978912426,-3.92281978912426,-3.13702073062554,0
626,-5.60984960780615,-5.60984960780615,-1.30903442104938,0
627,-1.68116311863354,-1.68116311863354,-1.68116311863354,0
628,0,0,0,0
629,-4.27769699192613,-4.27769699192613,-4.27769699192613,0
630,-6.50528645976011,-4.56033187011865,-0.38755306493839,0
631,-5.63079122875161,-5.63079122875161,-1.59487162764039,0
632,-6.13524613341754,-6.13524613341754,-1.08498677539065,0
633,-4.44166646457869,-4.44166646457869,-2.32657376861837,0
634,-5.75663618883433,-5.75663618883433,-1.59454594427392,0
635,-4.03421250119714,-4.03421250119714,-4.03421250119714,0
636,-0.944135674983327,-0.944135674983327,-0.944135674983327,0
637,-5.81116544175064,-5.81116544175064,-1.34491972931625,0
638,-0.274391807436532,-0.274391807436532,-0.274391807436532,0
639,-0.747685024473639,-0.747685024473639,-0.747685024473639,0
640,0,0,0,0
641,-1.97456681068942,-1.97456681068942,-1.97456681068942,0
642,-1.33613243339687,-1.33613243339687,-1.33613243339687,0
643,-1.41755910443335,-1.41755910443335,-1.41755910443335,0
644,-5.68251714892956,-5.68251714892956,-1.98873649044345,0
645,-4.30095286455254,-4.30095286455254,-1.52129135203397,0
646,0,0,0,0
647,-4.90529355671069,-4.90529355671069,-2.90151823550793,0
648,-5.67332377052412,-5.67332377052412,-1.04600201990509,0
649,-5.82387923544681,-5.82387923544681,-0.936903065440891,0
650,-5.2340637892342,-5.2340637892342,-1.029706707335,0
651,-3.12915030306323,-3.12915030306323,-1.98572701597823,0
652,0,0,0,0
653,0,0,0,0
654,-0.929494154024138,-0.929494154024138,-0.929494154024138,0
655,-4.7998301068244,-4.7998301068244,-4.7998301068244,0
656,-5.75735146546799,-5.75735146546799,-1.41018296980778,0
657,-4.34331620383019,-4.34331620383019,-4.34331620383019,0
658,-4.65421856150795,-4.65421856150795,-1.58412654506056,0
659,-5.66990935420571,-5.66990935420571,-1.50984973653123,0
660,-2.00881981236997,-2.00881981236997,-2.00881981236997,0
661,-3.15779389349689,-3.15779389349689,-3.15779389349689,0
662,-6.25478835849505,-6.25478835849505,-0.867514982803405,0
663,-6.15806880275616,-6.15806880275616,-0.756866980839206,0
664,-1.8687264793247,-1.8687264793247,-1.8687264793247,0
665,-2.38309428533993,-2.38309428533993,-2.38309428533993,0
666,-4.03571440246855,-4.03571440246855,-3.74972231290431,0
667,-3.11761314860914,-3.11761314860914,-2.5409612251916,0
668,-6.23187918663318,-6.23187918663318,-0.709190880091912,0
669,-5.86281608137499,-5.86281608137499,-1.42215784246409,0
670,-6.42726340997083,-6.42726340997083,-0.508648635156188,0
671,-1.20132656750867,-1.20132656750867,-1.20132656750867,0
672,0,0,0,0
673,-2.42006992116898,-2.42006992116898,-2.42006992116898,0
674,-6.26445143856275,-6.26445143856275,-0.657274097855499,0
675,0,0,0,0
676,-6.27531691917501,-6.27531691917501,-0.726799126719036,0
677,-4.10377716599956,-4.10377716599956,-2.03425140866638,0
678,-3.60655231930595,-3.60655231930595,-3.60655231930595,0
679,-3.98883934434351,-3.98883934434351,-2.07317280221839,0
680,-4.9853917982041,-4.9853917982041,-2.02114741797339,0
