"Run.ID","P0.Regret.GS","P1.Regret.GS","P2.Regret.GS","P3.Regret.GS"
635,0.00140947946108149,0.00277929608853723,0.0141135280388957,0
636,0,0.00109538122282966,0.00861582210596994,0.00882997187517509
637,0.0121815813628195,0.0143348048843341,0.0198859951935188,0
638,0.00512389144261052,0.00586306634554481,0.010170157098671,0
639,0.0143273575440215,0.0148580876161321,0.0174969708758976,0
640,0.438517817123275,0.439098425224361,0.441994230290215,0
641,0.000296253533833037,0.00134935223404954,0.0176330141859277,0
642,0,0.000994987256886938,0.0083764088750569,0.00110529129663695
643,0.0111448256321529,0.0120408026754951,0.0175239754976265,0
644,0.00447481501717738,0.00588143394724017,0.0183202995926439,0
645,0.0247952842896429,0.0257934989047675,0.0208830961839046,0
646,0.00764298737625481,0.00838497734719928,0.0125294824206782,0
647,0.00391208346463931,0.00505309131687733,0.0165237586496019,0
648,0.0233136091836197,0.0250700794965614,0.0179848365536311,0
649,0.0298395900154264,0.0313264188731466,0.0207973789123988,0
650,0.0303468757617424,0.0298389172005211,0.0209361210240986,0
651,0.0245854175177027,0.0252789267388455,0.0228228643759348,0
652,0.00291991700705726,0.00359928245056043,0.00737258054692922,0
653,0.20620331549244,0.206813748098141,0.209864509185337,0
654,0.00719366049430985,0.00789760752518693,0.0119296397620831,0
655,0.000360302430294793,0.00171750570854877,0.0176568945043602,0
656,0.011864219697471,0.0132957813602026,0.0167105248820941,0
657,0.00614549939510294,0.00756874515603491,0.0178935587003534,0
658,0.018367472310729,0.0195258941744352,0.019930775768114,0
659,0.0106522193838757,0.0127722644487982,0.0181439743384961,0
660,0.0166204956567706,0.0172902072906864,0.0211436347710316,0
661,0.0145621211193976,0.015410442559936,0.0216039714642331,0
662,0.0132975371643659,0.0150415312978063,0.0162513548378748,0
663,0.014979382854842,0.0168466635858988,0.0156394352499388,0
664,0.0103602468470658,0.0111308369230507,0.0164562949027999,0
665,0.0181391457802694,0.0188452324606449,0.0198046733120916,0
666,0.0035195457259146,0.00464706375046436,0.0163528186136004,0
667,0.0242553125455718,0.0250922411113173,0.02533720142792,0
668,0.0095832141792502,0.0113412057367622,0.0185732615771058,0
669,0.0170402867385751,0.0182168478119226,0.0202422207319061,0
670,0.023162177954081,0.0268992639079943,0.0169606008152335,0
671,0,0.000920109850253009,0.00696552124198666,0.00143217149743492
672,0.0996986226919732,0.100437803834843,0.104007087823965,0
673,0,0.00116079290887854,0.0103755129428874,0.00604636269148372
674,0.0202991654092994,0.0223050206958691,0.0166180823140049,0
675,0.00530369699185726,0.00607360441280781,0.0100169952789659,0
676,0.0132296792576418,0.0154862071047309,0.0154369996148169,0
677,0.0205599075812578,0.0216887399124588,0.022070191055444,0
678,0.00715436948087515,0.00840605755896216,0.0188673864474763,0
679,0.0176245370668247,0.0183684735891391,0.020323401225317,0
